"file","gef_id","doc_type","ext","scanned","year_text","year_filename","year_meta","final_year","method"
"gef_5280_Terminal_Evaluation.pdf","5280","Terminal_Evaluation","pdf","FALSE","NA","NA","NA","NA","none"
"gef_5286_Terminal_Evaluation.pdf","5286","Terminal_Evaluation","pdf","FALSE","2022","NA","NA","2022","text"
"gef_5317_Mid-Term_Review.zip","5317","Mid-Term_Review","zip","FALSE","NA","NA","NA","NA","none"
"gef_5328_Terminal_Evaluation.pdf","5328","Terminal_Evaluation","pdf","FALSE","2023","NA","NA","2023","text"
"gef_5331_Terminal_Evaluation.pdf","5331","Terminal_Evaluation","pdf","FALSE","2020","NA","NA","2020","text"
"gef_5375_Mid-Term_Review.zip","5375","Mid-Term_Review","zip","FALSE","NA","NA","NA","NA","none"
"gef_5376_Terminal_Evaluation.pdf","5376","Terminal_Evaluation","pdf","FALSE","NA","NA","NA","NA","none"
"gef_5379_Terminal_Evaluation.pdf","5379","Terminal_Evaluation","pdf","FALSE","NA","NA","NA","NA","none"
"gef_5382_Terminal_Evaluation.pdf","5382","Terminal_Evaluation","pdf","FALSE","2021","NA","NA","2021","text"
"gef_5394_Terminal_Evaluation.pdf","5394","Terminal_Evaluation","pdf","FALSE","2022","NA","NA","2022","text"
"gef_5432_Terminal_Evaluation.xlsx","5432","Terminal_Evaluation","xlsx","FALSE","NA","NA","2014","2014","ooxml_created"
"gef_5433_Terminal_Evaluation.pdf","5433","Terminal_Evaluation","pdf","FALSE","2022","NA","NA","2022","text"
"gef_5436_Terminal_Evaluation.xlsx","5436","Terminal_Evaluation","xlsx","FALSE","NA","NA","2014","2014","ooxml_created"
"gef_5445_Terminal_Evaluation.pdf","5445","Terminal_Evaluation","pdf","FALSE","2015","NA","NA","2015","text"
"gef_5449_Terminal_Evaluation.xls","5449","Terminal_Evaluation","xls","FALSE","NA","NA","2010","","suspect_template_date"
"gef_5451_Terminal_Evaluation.pdf","5451","Terminal_Evaluation","pdf","FALSE","2023","NA","NA","2023","text"
