id,key,title,doc_date,doc_type,country,project_id,screen_status,already_have,topics,pdf_url,web_url,report_name,report_no
30841426,P115464,Cabo Verde - Recovery and Reform of Electricity Sector Project,2019-01-30T05:00:00Z,Implementation Completion and Results Report,Cabo Verde,CV-CAPE VERDE -  Recovery and Reform of the Electricity  Sector Project -- P115464,to_screen,FALSE,"Energy,Health, Nutrition and Population,Water Resources",http://documents.worldbank.org/curated/en/444581550508144760/pdf/130328-cv-icr-02142019-636859513031794125.pdf,http://documents.worldbank.org/curated/en/444581550508144760,Cabo Verde - Recovery and Reform of Electricity Sector Project,130328
29326514,P115563,Uganda - Health Systems Strengthening Project,2017-12-22T05:00:00Z,Implementation Completion and Results Report,Uganda,UG-Uganda Health Systems Strengthening Project -- P115563,to_screen,FALSE,"Health, Nutrition and Population,Industry,Science and Technology Development",http://documents.worldbank.org/curated/en/140811514912525823/pdf/ICR00004229-12292017.pdf,http://documents.worldbank.org/curated/en/140811514912525823,Uganda - Health Systems Strengthening Project,ICR4229
27677311,P115664,Liberia - Emergency Monrovia Urban Sanitation Project,2017-06-20T04:00:00Z,Implementation Completion and Results Report,Liberia,LR-Emergency Monrovia Urban Sanitation Project (EMUS) -- P115664,to_screen,FALSE,"Communities and Human Settlements,Conflict and Development,Health, Nutrition and Population,Urban Development,Water Resources,Water Supply and Sanitation",http://documents.worldbank.org/curated/en/752261498499727624/pdf/ICR00004138-06202017.pdf,http://documents.worldbank.org/curated/en/752261498499727624,Liberia - Emergency Monrovia Urban Sanitation Project,ICR4138
26848712,P115836,Sierra Leone - Wetlands Conservation Project,2016-09-27T04:00:00Z,Implementation Completion and Results Report,Sierra Leone,SL-Wetlands Conservation Project -- P115836,to_screen,FALSE,"Health, Nutrition and Population,Water Resources",http://documents.worldbank.org/curated/en/711481475848511731/pdf/ICR00003927-10042016.pdf,http://documents.worldbank.org/curated/en/711481475848511731,Sierra Leone - Wetlands Conservation Project,ICR3927
33773248,P115886,Benin - Agricultural Productivity and Diversification Project,2022-03-21T04:00:00Z,Implementation Completion and Results Report,World,BJ-Agricultural Productivity and Diversification -- P115886,in_scope,TRUE,"Agriculture,Health, Nutrition and Population",http://documents.worldbank.org/curated/en/554661648476877233/pdf/Benin-Agricultural-Productivity-and-Diversification-Project.pdf,http://documents.worldbank.org/curated/en/554661648476877233,Benin - Agricultural Productivity and Diversification Project,ICR5662
29314551,P116273,West Africa - Regional Communications Infrastructure Project,2017-12-30T05:00:00Z,Implementation Completion and Results Report,Western Africa,3W-West Africa Regional Communications Infrastructure Program -- P116273,to_screen,FALSE,"Conflict and Development,Finance and Financial Sector Development,Industry,Infrastructure Economics and Finance,Law and Development,Science and Technology Development,Social Development",http://documents.worldbank.org/curated/en/661221514405908388/pdf/ICR-Main-Document-P116273-12302017.pdf,http://documents.worldbank.org/curated/en/661221514405908388,West Africa - Regional Communications Infrastructure Project,ICR3971
31675125,P116323,Cote d'Ivoire - Second Phase Project of the Abidjan-Lagos Trade and Transport Facilitation Program,2019-12-18T05:00:00Z,Implementation Completion and Results Report,Western Africa,3W-Abidjan-Lagos Trade and Transport  Facilitation Program - APL-2 -- P116323,to_screen,FALSE,"Health, Nutrition and Population,International Economics and Trade,Transport",http://documents.worldbank.org/curated/en/642881577726971790/pdf/Cote-dIvoire-Second-Phase-Project-of-the-Abidjan-Lagos-Trade-and-Transport-Facilitation-Program.pdf,http://documents.worldbank.org/curated/en/642881577726971790,Cote d'Ivoire - Second Phase Project of the Abidjan-Lagos Trade and Transport Facilitation Program,ICR4935
25244081,P116426,Lesotho - Education for All (EFA) Fast Track Initiative Catalytic Fund Grant Project,2015-10-28T04:00:00Z,Implementation Completion and Results Report,Lesotho,LS-EFA Fast Track Initiative Catalytic Fund Grant for Lesotho -- P116426,to_screen,FALSE,Education,http://documents.worldbank.org/curated/en/972931467986351803/pdf/ICR3404-P116426-Box393233B-PUBLIC-disclosed-11-2-15.pdf,http://documents.worldbank.org/curated/en/972931467986351803,Lesotho - Education for All (EFA) Fast Track Initiative Catalytic Fund Grant Project,ICR3404
32183245,P116602,Mali - Urban Local Government Support Project,2020-06-24T04:00:00Z,Implementation Completion and Results Report,Mali,ML-Urban Local Government Support Project -- P116602,in_scope,FALSE,"Agriculture,Communities and Human Settlements,Finance and Financial Sector Development,Governance,Macroeconomics and Economic Growth,Poverty Reduction,Public Sector Development,Urban Development,Water Resources",http://documents.worldbank.org/curated/en/322521593224846267/pdf/Mali-Urban-Local-Government-Support-Project.pdf,http://documents.worldbank.org/curated/en/322521593224846267,Mali - Urban Local Government Support Project,ICR3879
26221896,P117081,Morocco - Integrating Climate Change in the Implementation of the Plan Maroc Vert Project,2016-04-07T04:00:00Z,Implementation Completion and Results Report,Morocco,MA-Integrating Climate Change in the Implementation of the Plan Maroc Vert -- P117081,to_screen,FALSE,"Environment,Health, Nutrition and Population,Public Sector Development,Science and Technology Development,Social Development",http://documents.worldbank.org/curated/en/693371468186857140/pdf/ICR3708-P117081-Box394885B-OUO-9.pdf,http://documents.worldbank.org/curated/en/693371468186857140,Morocco - Integrating Climate Change in the Implementation of the Plan Maroc Vert Project,ICR3708
