id,title,pdf_url,doc_date,doc_type,country,project_id,web_url,source_url,content_type,md5,family_id,family_year,status
AF.document.AF00000124.n0000,"Enhancing Adaptive Capacity of Andean Communities through Climate Services (ENANDES) (Chile, Colombia, Peru) — Project concept",https://cdn.climatepolicyradar.org/navigator/CHL/2019/enhancing-adaptive-capacity-of-andean-communities-through-climate-services-enandes-chile-colombia-peru_21a8581980e32c1e36ed1d18132b9162.pdf,2019-07-08T00:00:00Z,Project concept,CHL;COL;PER,AF00000124,https://climateprojectexplorer.org/document/enhancing-adaptive-capacity-of-andean-communities-through-climate-services-enandes-chile-colombia-peru_6381,https://fifspubprd.azureedge.net/afdocuments/project/6532/6532_Concept-for-Chile-Colombia-Peru-1.pdf,application/pdf,21a8581980e32c1e36ed1d18132b9162,AF.family.AF00000124.0,2019,out_of_scope_geo
AF.document.AF00000124.n0001,"Enhancing Adaptive Capacity of Andean Communities through Climate Services (ENANDES) (Chile, Colombia, Peru) — Project document",https://cdn.climatepolicyradar.org/navigator/CHL/2019/enhancing-adaptive-capacity-of-andean-communities-through-climate-services-enandes-chile-colombia-peru_1baf7f90ad34b8b6a58e4c306d54b246.pdf,2019-07-08T00:00:00Z,Project document,CHL;COL;PER,AF00000124,https://climateprojectexplorer.org/document/enhancing-adaptive-capacity-of-andean-communities-through-climate-services-enandes-chile-colombia-peru_6381,https://fifspubprd.azureedge.net/afdocuments/project/6532/6532_ENANDES_Revised_%20proposal_20190514_NO_track_changes.pdf,application/pdf,1baf7f90ad34b8b6a58e4c306d54b246,AF.family.AF00000124.0,2019,out_of_scope_geo
AF.document.AF00000124.n0002,"Enhancing Adaptive Capacity of Andean Communities through Climate Services (ENANDES) (Chile, Colombia, Peru) — Project inception",https://cdn.climatepolicyradar.org/navigator/CHL/2019/enhancing-adaptive-capacity-of-andean-communities-through-climate-services-enandes-chile-colombia-peru_0a0273e9053d478d28a66c9ccd42772c.pdf,2019-07-08T00:00:00Z,Project inception,CHL;COL;PER,AF00000124,https://climateprojectexplorer.org/document/enhancing-adaptive-capacity-of-andean-communities-through-climate-services-enandes-chile-colombia-peru_6381,https://fifspubprd.azureedge.net/afdocuments/project/6532/6532_ENANDES%20Project_Inception%20Report_WMO.pdf,application/pdf,0a0273e9053d478d28a66c9ccd42772c,AF.family.AF00000124.0,2019,out_of_scope_geo
AF.document.AF00000124.n0004,"Enhancing Adaptive Capacity of Andean Communities through Climate Services (ENANDES) (Chile, Colombia, Peru) — project monitoring report 2",https://cdn.climatepolicyradar.org/navigator/CHL/2019/enhancing-adaptive-capacity-of-andean-communities-through-climate-services-enandes-chile-colombia-peru_59d872a57ce4e883f977edd96bacb196.pdf,2019-07-08T00:00:00Z,project monitoring report 2,CHL;COL;PER,AF00000124,https://climateprojectexplorer.org/document/enhancing-adaptive-capacity-of-andean-communities-through-climate-services-enandes-chile-colombia-peru_6381,https://fifspubprd.azureedge.net/afdocuments/project/6532/AF00000124_PPR2_Web.pdf,application/pdf,59d872a57ce4e883f977edd96bacb196,AF.family.AF00000124.0,2019,out_of_scope_geo
AF.document.014MGTRR.n0000,Climate change resilient production landscapes and socioeconomic networks advanced in Guatemala — Project document,https://cdn.climatepolicyradar.org/navigator/GTM/2013/climate-change-resilient-production-landscapes-and-socioeconomic-networks-advanced-in-guatemala_25f5a07cd4698ffb33a59a6247db17ab.pdf,2013-09-12T00:00:00Z,Project document,GTM,014MGTRR,https://climateprojectexplorer.org/document/climate-change-resilient-production-landscapes-and-socioeconomic-networks-advanced-in-guatemala_7c90,https://fifspubprd.azureedge.net/afdocuments/project/61/61_PIMS_4386_Guatemala_AF_Full_Proposal_Nov2012.pdf,application/pdf,25f5a07cd4698ffb33a59a6247db17ab,AF.family.014MGTRR.0,2013,out_of_scope_geo
AF.document.014MGTRR.n0007,Climate change resilient production landscapes and socioeconomic networks advanced in Guatemala — Project completion report,https://cdn.climatepolicyradar.org/navigator/GTM/2013/climate-change-resilient-production-landscapes-and-socioeconomic-networks-advanced-in-guatemala_e458c4dfad6c33e6e2d24185fb9fc58a.pdf,2013-09-12T00:00:00Z,Completion report,GTM,014MGTRR,https://climateprojectexplorer.org/document/climate-change-resilient-production-landscapes-and-socioeconomic-networks-advanced-in-guatemala_7c90,https://fifspubprd.azureedge.net/afdocuments/project/61/61_Guatemala%20AF%20-%20Programme%20Completion%20Summary%20-%2019%20June%202019.pdf,application/pdf,e458c4dfad6c33e6e2d24185fb9fc58a,AF.family.014MGTRR.0,2013,out_of_scope_geo
AF.document.AF00000087.n0000,Enhancing the climate and disaster resilience of the most vulnerable rural and emerging urban human settlements in Lao PDR — Inception report,https://cdn.climatepolicyradar.org/navigator/LAO/2016/enhancing-the-climate-and-disaster-resilience-of-the-most-vulnerable-rural-and-emerging-urban-human-settlements-in-lao-pdr_90abd5c7ee37961d8f2882d78c909c0f.pdf,2016-10-07T00:00:00Z,Inception report,LAO,AF00000087,https://climateprojectexplorer.org/document/enhancing-the-climate-and-disaster-resilience-of-the-most-vulnerable-rural-and-emerging-urban-human-settlements-in-lao-pdr_8616,https://fifspubprd.azureedge.net/afdocuments/project/3062/3062_Inception%20Report_Adaptation%20Fund_Lao%20PDR_March%202017.pdf,application/pdf,90abd5c7ee37961d8f2882d78c909c0f,AF.family.AF00000087.0,2016,out_of_scope_geo
AF.document.AF00000087.n0002,Enhancing the climate and disaster resilience of the most vulnerable rural and emerging urban human settlements in Lao PDR — Project document,https://cdn.climatepolicyradar.org/navigator/LAO/2016/enhancing-the-climate-and-disaster-resilience-of-the-most-vulnerable-rural-and-emerging-urban-human-settlements-in-lao-pdr_b60eed419ce76ecef95239666cea105f.pdf,2016-10-07T00:00:00Z,Project document,LAO,AF00000087,https://climateprojectexplorer.org/document/enhancing-the-climate-and-disaster-resilience-of-the-most-vulnerable-rural-and-emerging-urban-human-settlements-in-lao-pdr_8616,https://fifspubprd.azureedge.net/afdocuments/project/3062/3062_3.%20Lao%20PDR%20AF%20Full%20Project%20Proposal%20UN-Habitat%2029%20Aug%202016_mark%20up_update%2031%20Aug.pdf,application/pdf,b60eed419ce76ecef95239666cea105f,AF.family.AF00000087.0,2016,out_of_scope_geo
AF.document.AF00000355.n0000,The Adaptation SMEs Innovation Facility (ASIF) — Project document,https://cdn.climatepolicyradar.org/navigator/XAB/2023/the-adaptation-smes-innovation-facility-asif_e5e7afcd538dfe5efb9c679290916130.pdf,2023-10-13T00:00:00Z,Project document,XAB,AF00000355,https://climateprojectexplorer.org/document/the-adaptation-smes-innovation-facility-asif_aff4,https://fifspubprd.azureedge.net/afdocuments/project/15100/UNIDO_AFCIA_Proposal.pdf,application/pdf,e5e7afcd538dfe5efb9c679290916130,AF.family.AF00000355.0,2023,out_of_scope_geo
AF.document.068NINCS.n0002,Conservation and Management of Coastal Resources as a Potential Adaptation Strategy for Sea Level Rise — Project document,https://cdn.climatepolicyradar.org/navigator/IND/2014/conservation-and-management-of-coastal-resources-as-a-potential-adaptation-strategy-for-sea-level-rise_d7064e4814076dddc83f6ad51fc7e6ab.pdf,2014-10-10T00:00:00Z,Project document,IND,068NINCS,https://climateprojectexplorer.org/document/conservation-and-management-of-coastal-resources-as-a-potential-adaptation-strategy-for-sea-level-rise_984b,https://fifspubprd.azureedge.net/afdocuments/project/34/34_NABARD_AFB%20PROPOSAL_SEA%20LEVEL%20RISE_MSSRF__REVISED%20AFTER%20ATR_SEPT%2014.pdf,application/pdf,d7064e4814076dddc83f6ad51fc7e6ab,AF.family.068NINCS.0,2014,out_of_scope_geo
AF.document.AF00000362.n0000,Adaptation Fund Climate Innovation Accelerator II — Project document,https://cdn.climatepolicyradar.org/navigator/XAB/2024/adaptation-fund-climate-innovation-accelerator-ii_aa3737fc9bb312578ede3505f4c872dd.pdf,2024-04-19T00:00:00Z,Project document,XAB,AF00000362,https://climateprojectexplorer.org/document/adaptation-fund-climate-innovation-accelerator-ii_4072,https://fifspubprd.azureedge.net/afdocuments/project/15109/AFCIA%20II%20Funding%20Proposal%20Final.pdf,application/pdf,aa3737fc9bb312578ede3505f4c872dd,AF.family.AF00000362.0,2024,out_of_scope_geo
